property_id,owner_person_id,property_address,purchase_date,purchase_value_inr
PROP00059,PER00749,"179, Mall Circle, Buxar-633480",2022-02-04,1299605
PROP00060,PER00120,"36/979, Shah, Pali 419447",2023-11-14,4314066
PROP00061,PER00034,"01/24, Parekh Road, Bhilai-183256",2025-04-02,3338401
PROP00062,PER00687,"11/620, Rana Zila, Anand 019004",2018-09-01,5662305
PROP00063,PER00874,"H.No. 684, Amble Street, Bilaspur 273107",2023-07-30,2980982
PROP00064,PER00808,"76/507, Parmer Circle, Ramagundam-260204",2018-01-18,4918673
PROP00065,PER00160,"H.No. 574, Rout Road, Hospet 745559",2022-05-06,3633046
PROP00066,PER00769,"H.No. 036, Brar Road, Kamarhati 728215",2023-11-16,1485051
PROP00067,PER00831,"H.No. 216, Bahri Street, Ramagundam 269563",2022-10-29,4024748
PROP00068,PER00005,"76, Chokshi Zila, North Dumdum-105660",2024-05-28,9543844
PROP00069,PER00187,"H.No. 534, Borah Street, Thanjavur 882514",2023-11-27,3147099
PROP00070,PER00496,"40, Devan Marg, Bellary 421613",2019-10-31,2736810
PROP00071,PER00400,"H.No. 93, Barman, Ahmedabad-056673",2021-07-09,4522643
PROP00072,PER00022,"10/26, Randhawa Road, Munger-152920",2018-11-03,3848665
PROP00073,PER00277,"01, Devi Circle, Kamarhati-994541",2024-10-04,616845
PROP00074,PER00871,"391, Sani Nagar, Panvel 224596",2023-11-28,576369
PROP00075,PER00162,"76/787, Natarajan Ganj, Jorhat 587201",2019-01-29,12320468
PROP00076,PER00442,"H.No. 853, Sehgal Marg, Warangal-108618",2023-12-13,4945291
PROP00077,PER00867,"91/136, Khatri, Anantapuram 608126",2020-04-18,19186213
PROP00078,PER00658,"70/713, Pradhan Road, Mangalore-637632",2019-04-17,16074732
PROP00079,PER00159,"H.No. 37, Goswami Marg, Patiala 440054",2024-01-30,4138587
PROP00080,PER00686,"01/970, Bansal Road, Thiruvananthapuram 372807",2019-11-18,1944151
PROP00081,PER00837,"H.No. 118, Dhawan Road, Fatehpur-137180",2022-09-20,5259351
PROP00082,PER00066,"H.No. 286, Desai Ganj, Silchar 653141",2018-09-30,1920202
PROP00083,PER00992,"34/164, Suri Circle, Bhubaneswar 919362",2017-10-07,4626112
PROP00084,PER00560,"149, Hegde Zila, Bidhannagar-488860",2022-01-06,4823771
PROP00085,PER00538,"H.No. 179, Tara Road, Haridwar-623747",2025-06-19,3468910
PROP00086,PER00210,"H.No. 84, Venkatesh Zila, Bidar-187945",2022-10-20,967762
PROP00087,PER00241,"26, Garde Road, Aligarh 856602",2022-06-07,1012933
PROP00088,PER00352,"75, Pingle Ganj, Jalandhar-829240",2021-08-06,0
PROP00089,PER00557,"H.No. 194, Arya Nagar, Thoothukudi 737718",2018-04-25,1241790
PROP00090,PER00394,"H.No. 438, Gala Chowk, Mahbubnagar 252877",2019-05-04,3819224
PROP00091,PER00821,"378, Hegde Street, Deoghar 328267",2020-03-16,7699509
PROP00092,PER00134,"91/749, Lalla Path, Satara 913388",2023-06-20,40153291
PROP00093,PER00738,"12, Badami Ganj, Ulhasnagar-623186",2019-09-19,26547862
PROP00094,PER00006,"H.No. 545, Sarin, Ongole 621922",2022-03-30,558618
PROP00095,PER00051,"418, Divan Zila, Ongole 216209",2019-08-09,1038920
PROP00096,PER00053,"20/15, Sani Path, Chittoor-914257",2024-07-16,0
PROP00097,PER00773,"958, Sankaran Circle, Kakinada-552706",2018-02-13,0
PROP00098,PER00140,"02/914, Deshpande Marg, Miryalaguda-688180",2022-11-02,3659380
PROP00099,PER00107,"02/836, Chaudhary Path, Narasaraopet 995005",2020-07-06,2816591
PROP00100,PER00722,"H.No. 32, D’Alia Marg, Kolkata 259534",2024-05-30,14709265
PROP00101,PER00236,"51, Thakur Road, Shimla-996934",2025-06-25,1147434
PROP00102,PER00256,"76, Sharaf Zila, Katni-829582",2021-07-20,17212432
PROP00103,PER00847,"28/666, Sarin Path, Howrah-420134",2017-12-28,1582714
PROP00104,PER00998,"81/535, Sodhi Nagar, Surat-715668",2018-06-14,659966
PROP00105,PER00002,"60, Narula Zila, Bongaigaon 695070",2019-01-22,4884336
PROP00106,PER00268,"05/63, Minhas Circle, Tadipatri 260715",2021-01-14,4747560
PROP00107,PER00176,"79/90, Narang Marg, Guna 593286",2020-07-08,2832752
PROP00108,PER00188,"H.No. 85, Hari Chowk, Anantapur 345593",2018-03-02,3552601
PROP00109,PER00575,"H.No. 884, Bahri Zila, Pallavaram-553575",2021-01-07,7647244
PROP00110,PER00147,"71/563, Agate Marg, Mangalore 016676",2023-08-22,35161904
PROP00111,PER00037,"175, Dasgupta Street, Vellore 028144",2018-04-21,5228744
PROP00112,PER00684,"768, Mandal Zila, Alwar-418979",2024-05-23,5093354
PROP00113,PER00320,"H.No. 736, Sangha Road, Nagaon 383778",2022-01-20,810226
PROP00114,PER00515,"16/10, Borra Circle, Hapur 357365",2024-10-10,1620824
PROP00115,PER00039,"27/57, Nair Street, Aizawl 185671",2019-06-23,731006
PROP00116,PER00328,"50/768, Pillay Path, Bokaro-183780",2024-12-22,18037331
PROP00117,PER00608,"H.No. 347, More Chowk, Hazaribagh-662902",2017-12-28,2137630
PROP00118,PER00999,"30/70, Ghose, Ahmednagar 128482",2018-01-22,1678686
PROP00119,PER00181,"H.No. 648, Kamdar Ganj, Ichalkaranji-293201",2022-12-03,37216035
PROP00120,PER00929,"09/10, Gaba Path, Sri Ganganagar-394421",2022-05-25,13799130
PROP00121,PER00509,"22, Vaidya Street, Chapra-109547",2022-11-05,2621770
PROP00122,PER00605,"23/85, Khare Street, Purnia 170039",2024-06-29,1186201
PROP00123,PER00110,"77, Mishra, Silchar-795240",2018-01-24,3513493
PROP00124,PER00887,"H.No. 34, Sunder Path, Coimbatore 113628",2023-07-23,5781046
PROP00125,PER00785,"50, Sani Chowk, Surat 044736",2020-04-18,3210513
PROP00126,PER00234,"99, Sem Road, Giridih 393876",2024-03-27,3350501
PROP00127,PER00230,"H.No. 35, Mallick Zila, Mangalore-454970",2019-03-05,5153816
PROP00128,PER00510,"H.No. 45, Ghose Street, Mathura 740429",2022-09-14,4273927
PROP00129,PER00798,"H.No. 969, Deep Nagar, Sultan Pur Majra-581741",2022-07-13,5778083
PROP00130,PER00502,"H.No. 367, Manne Path, Rajahmundry 041080",2022-02-03,4612787
PROP00131,PER00483,"830, Sinha Road, Katni-476384",2019-02-06,3728004
PROP00132,PER00099,"72, Bansal Ganj, Guntakal-503474",2024-03-14,6938851
PROP00133,PER00105,"H.No. 052, Chandra Nagar, Karawal Nagar 133632",2022-12-01,6981631
PROP00134,PER00425,"26/229, Vaidya Path, Haldia 910726",2024-08-27,16381760
PROP00135,PER00240,"66, Khosla Path, Guntur-309648",2020-03-25,1280581
PROP00136,PER00440,"292, Dayal Marg, Khammam 176369",2024-02-14,2314780
PROP00137,PER00655,"H.No. 046, Jain Ganj, Nashik-784564",2023-06-18,0
PROP00138,PER00466,"00, Dora, Karaikudi-014466",2020-12-13,18179128
PROP00139,PER00432,"554, Bakshi Zila, Secunderabad-738067",2020-09-24,2319609
PROP00140,PER00927,"H.No. 599, Roy Ganj, Bhavnagar 235865",2021-04-22,14655531
PROP00141,PER00366,"H.No. 19, Konda Ganj, Morbi-946727",2019-04-10,1918610
PROP00142,PER00011,"45/773, Sani Ganj, New Delhi 994805",2021-07-04,1077035
PROP00143,PER00873,"00/573, Desai Nagar, Thane 446730",2024-01-19,3763291
PROP00144,PER00701,"80/25, Kanda Path, Ujjain-147864",2024-11-01,1273238
PROP00145,PER00750,"80, Sibal Street, North Dumdum-498816",2019-07-31,3050596
PROP00146,PER00826,"68, Cheema Road, Chittoor 678160",2021-11-02,4483743
PROP00147,PER00204,"864, Mandal, Tiruppur-548877",2018-02-19,2544536
PROP00148,PER00539,"965, Patla Zila, Tiruvottiyur 704368",2020-02-11,1321461
PROP00149,PER00447,"H.No. 28, Rattan Circle, Saharanpur-551448",2019-05-20,18436842
PROP00150,PER00663,"95, Raj Ganj, Etawah 248439",2022-01-26,29775017
PROP00151,PER00334,"79/04, Rai Street, Satara-333010",2023-11-04,0
PROP00152,PER00257,"898, Tata Road, Ramgarh-286359",2020-01-13,29399722
PROP00153,PER00702,"585, Narang Path, Kirari Suleman Nagar-514011",2022-01-12,1858717
PROP00154,PER00464,"61/832, Sama Zila, Ghaziabad 563854",2021-05-30,10026251
PROP00155,PER00598,"22, Bal Road, Kollam 955449",2023-08-21,5510924
PROP00156,PER00363,"92/854, Radhakrishnan Marg, Nadiad-142285",2021-08-05,27002585
PROP00157,PER00353,"H.No. 75, Chacko Nagar, Dindigul-268409",2019-01-18,1174307
PROP00158,PER00759,"H.No. 488, Walla Ganj, Tinsukia-077209",2017-09-23,1154343
PROP00159,PER00317,"619, Ganesan Road, Dharmavaram 434413",2019-11-15,7283336
PROP00160,PER00678,"H.No. 91, Yadav Marg, Ulhasnagar-848113",2020-05-08,13520668
PROP00161,PER00470,"31/858, Nair Circle, Karaikudi-033762",2020-03-21,4140568
PROP00162,PER00654,"600, Bhalla Ganj, Bhatpara-476930",2020-05-24,2145024
PROP00163,PER00424,"49/50, Nayar Zila, Raiganj-070677",2018-03-14,12745471
PROP00164,PER00710,"91, Dutta Path, Davanagere-940539",2024-02-14,1489810
PROP00165,PER00482,"39/99, Nagi Circle, Ongole 486040",2023-03-19,0
PROP00166,PER00636,"68/290, Sarkar Chowk, Ozhukarai 499377",2021-08-30,26617235
PROP00167,PER00485,"H.No. 806, Kar Marg, Jalandhar 375947",2024-09-14,5390306
PROP00168,PER00947,"975, Padmanabhan Marg, Giridih 959137",2020-11-11,3060574
PROP00169,PER00319,"26/16, Deol Path, Bhilwara 209542",2020-11-04,578114
PROP00170,PER00602,"47/115, Sanghvi Path, Katni 026238",2024-03-17,1040720
PROP00171,PER00943,"628, Golla Circle, Thane 558490",2025-07-20,0
PROP00172,PER00360,"814, Kala Circle, Phusro 775396",2021-07-17,4122105
PROP00173,PER00416,"42, Verma Zila, Delhi 070728",2017-11-17,21215901
PROP00174,PER00939,"37/81, Rout Road, Tiruvottiyur 996441",2019-02-21,5989572
PROP00175,PER00652,"H.No. 360, Ramesh Nagar, Secunderabad-073323",2018-05-08,3919684
PROP00176,PER00878,"26, Singh Nagar, Gopalpur-305569",2022-04-20,1764258
PROP00177,PER00229,"38/519, Chander Street, Dindigul-588106",2024-12-26,3051082
PROP00178,PER00384,"58/548, Chaudry Road, Bhilai-833312",2019-09-30,3597805
PROP00179,PER00736,"H.No. 216, Desai Marg, Ballia 578863",2022-11-06,0
PROP00180,PER00323,"56/00, Issac Chowk, Noida-741141",2019-06-05,2742790
PROP00181,PER00689,"76/474, Kant Zila, Bhopal-409091",2021-05-24,3087951
PROP00182,PER00043,"653, Dave Nagar, Pudukkottai-166092",2017-12-31,2831961
PROP00183,PER00533,"H.No. 67, Sidhu Nagar, Alappuzha-580429",2019-11-30,4745650
PROP00184,PER00379,"81, Ramakrishnan Circle, Surat 495842",2018-09-11,22618147
PROP00185,PER00564,"32/22, Nair, Patiala-105564",2024-09-25,847675
PROP00186,PER00246,"13, Deshpande Chowk, Amroha 470290",2023-11-25,2719460
PROP00187,PER00462,"H.No. 06, Sodhi Street, Purnia 292812",2020-07-13,2809857
PROP00188,PER00514,"61/34, Sem Marg, Singrauli-322945",2018-10-03,4027001
PROP00189,PER00146,"H.No. 981, Kata, Haridwar 725570",2022-10-20,3513404
PROP00190,PER00049,"45/020, Tella, Tirunelveli-576454",2017-12-12,605201
PROP00191,PER00554,"21/00, Mittal Ganj, Ghaziabad 731211",2020-03-16,2672023
PROP00192,PER00473,"999, Dalal, Tiruvottiyur 342685",2024-04-16,24885251
PROP00193,PER00733,"H.No. 709, Mangat Street, Raiganj-384116",2022-06-27,2775898
PROP00194,PER00761,"H.No. 255, Garg Road, Durgapur-474456",2019-12-30,851255
PROP00195,PER00691,"33/928, Narayanan Road, Patna-684033",2021-11-01,1689531
PROP00196,PER00283,"H.No. 443, Chawla Marg, Amaravati-731325",2024-05-05,12753031
PROP00197,PER00659,"H.No. 92, Chada Path, Hosur 680179",2022-02-12,4710363
PROP00198,PER00549,"H.No. 191, Ahluwalia Chowk, Indore 146409",2024-11-06,6269765
PROP00199,PER00337,"85/576, Wable Marg, Ranchi-807250",2018-09-05,2136151
PROP00200,PER00329,"22, Ramachandran, Sri Ganganagar-982970",2022-05-25,6297999
